estacion,parada,linea,ascensor,escaleras,accesible,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,tipoTransporte
SAINZ DE BARANDA,12,6,1,1, 1,est_4_114,114.0,SAINZ DE BARANDA,N/A,40.41507,-3.66951,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
"""ODONNELL""",13,6,0,1, 0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metro
MANUEL BECERRA,14,6,0,1, 0,est_4_29,29.0,MANUEL BECERRA,N/A,40.4279,-3.66926,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
DIEGO DE LEON,15,6,0,1, 0,est_4_63,63.0,DIEGO DE LEON,N/A,40.43468,-3.67495,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
AVENIDA DE AMERICA,16,6,0,1, 0,est_90_4,4.0,AVENIDA DE AMERICA,Avda de América 9 A,40.43803,-3.6766900000000002,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
REPUBLICA ARGENTINA,17,6,0,1, 0,est_4_119,119.0,REPUBLICA ARGENTINA,N/A,40.44379,-3.6840599999999997,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
NUEVOS MINISTERIOS,18,6,0,1, 0,est_90_71,71.0,NUEVOS MINISTERIOS,Calle de Raimundo Fernández Villaverde 67,40.44662,-3.69246,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
CUATRO CAMINOS,19,6,1,1, 1,est_4_6,6.0,CUATRO CAMINOS,N/A,40.44697,-3.7039699999999995,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
GUZMAN EL BUENO,20,6,1,0, 1,est_4_122,122.0,GUZMAN EL BUENO,N/A,40.44637,-3.7122900000000003,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
VICENTE ALEIXANDRE,21,6,0,1, 0,est_4_123,123.0,VICENTE ALEIXANDRE,N/A,40.44644,-3.7194300000000005,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
CIUDAD UNIVERSITARIA,22,6,1,1, 1,est_4_124,124.0,CIUDAD UNIVERSITARIA,N/A,40.44356,-3.72678,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
MONCLOA,23,6,1,1, 1,est_90_14,14.0,MONCLOA,Plaza de la Moncloa 1,40.43523,-3.71919,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
ARGÜELLES,24,6,1,0, 1,est_4_52,52.0,ARGÜELLES,N/A,40.430659999999996,-3.71596,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
PRINCIPE PIO,25,6,0,1, 1,est_90_18,18.0,PRINCIPE PIO,Paseo de la Florida 2,40.42107,-3.7203699999999995,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
PUERTA DEL ANGEL,26,6,0,1, 0,est_4_128,128.0,PUERTA DEL ANGEL,N/A,40.4139,-3.72724,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
ALTO DE EXTREMADURA,27,6,0,1, 0,est_4_129,129.0,ALTO DE EXTREMADURA,N/A,40.409929999999996,-3.73894,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
LUCERO,28,6,1,0, 1,est_4_130,130.0,LUCERO,N/A,40.4051,-3.74534,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
HOSPITAL DEL HENARES,1,7,1,1, 1,est_4_296,296.0,HOSPITAL DEL HENARES,N/A,40.417609999999996,-3.53453,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
HENARES,2,7,1,1, 1,est_4_292,292.0,HENARES,N/A,40.417770000000004,-3.5271800000000004,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
JARAMA,3,7,1,1, 1,est_4_291,291.0,JARAMA,N/A,40.42295,-3.52549,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
SAN FERNANDO,4,7,1,1, 1,est_4_290,290.0,SAN FERNANDO,N/A,40.424409999999995,-3.5354099999999997,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
LA RAMBLA,5,7,1,1, 1,est_4_289,289.0,LA RAMBLA,N/A,40.42514,-3.5479199999999995,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
COSLADA CENTRAL,6,7,0,1, 0,est_4_288,288.0,COSLADA CENTRAL,N/A,40.42374,-3.5611900000000003,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
BARRIO DEL PUERTO,7,7,1,1, 1,est_4_287,287.0,BARRIO DEL PUERTO,N/A,40.4225,-3.5691900000000003,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
ESTADIO METROPOLITANO,8,7,1,1, 1,est_4_286,286.0,ESTADIO METROPOLITANO,N/A,40.43339,-3.60015,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
LAS MUSAS,9,7,0,0, 0,est_4_132,132.0,LAS MUSAS,N/A,40.432990000000004,-3.60788,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
