estacion,parada,linea,ascensor,escaleras,accesible
['Méndez Álvaro', 9, 6, 0, 1, 0]
['Legazpi', 7, 6, 1, 1, 1]
['Plaza Elíptica', 5, 6, 1, 1, 1]
['Usera', 6, 6, 0, 1, 1]
['Opañel', 4, 6, 0, 1, 0]
['Oporto', 3, 6, 0, 1, 0]
['Arganda del Rey', 29, 9, 1, 1, 1]
['Carpetana', 2, 6, 1, 1, 1]
['Laguna', 1, 6, 0, 0, 1]
['La Poveda', 28, 9, 1, 1, 1]
['Rivas Vaciamadrid', 27, 9, 1, 1, 1]
['Aeropuerto T4', 8, 8, 0, 0, 1]
['Aeropuerto T1-T2-T3', 6, 8, 0, 0, 1]
['Barajas', 7, 8, 1, 1, 1]
['Mar de Cristal', 4, 8, 1, 1, 1]
['Pinar del Rey', 3, 8, 1, 1, 1]
['Colombia', 2, 8, 1, 1, 1]
['Feria de Madrid', 5, 8, 1, 1, 1]
['Nuevos Ministerios', 1, 8, 0, 1, 0]
['Rivas Urbanizaciones', 25, 9, 1, 1, 1]
['Rivas Futura', 26, 9, 1, 1, 1]
['Puerta de Arganda', 24, 9, 1, 1, 1]
['San Cipriano', 23, 9, 1, 1, 1]
['Vicálvaro', 22, 9, 1, 1, 1]
['Pavones', 20, 9, 0, 1, 0]
['Vinateros', 18, 9, 0, 1, 0]
['Sainz de Baranda', 16, 9, 1, 1, 1]
['Estrella', 17, 9, 0, 1, 0]
['Artilleros', 19, 9, 0, 1, 0]
['Valdebernardo', 21, 9, 1, 1, 1]
['Príncipe de Vergara', 14, 9, 0, 1, 0]
[' Ibiza', 15, 9, 0, 1, 0]
['Núñez de Balboa', 13, 9, 0, 1, 0]
['Colombia', 9, 9, 1, 1, 1]
['Cruz del Rayo', 11, 9, 0, 1, 0]
['Avenida de América', 12, 9, 0, 1, 0]
['Pío XII', 8, 9, 0, 1, 0]
['Concha Espina', 10, 9, 0, 1, 0]
['Duque de Pastrana', 7, 9, 0, 1, 0]
['Ventilla', 5, 9, 0, 1, 0]
['Plaza de Castilla', 6, 9, 0, 1, 1]
['Barrio del Pilar', 4, 9, 0, 1, 0]
['Mirasierra', 2, 9, 1, 1, 1]
['Paco de Lucía', 1, 9, 1, 1, 1]
['Herrera Oria', 3, 9, 0, 1, 0]
['San Nicasio', 28, 12, 1, 1, 1]
['Leganés Central', 27, 12, 1, 1, 1]
['Casa del Reloj', 25, 12, 1, 1, 1]
['Julian Besteiro', 24, 12, 1, 1, 1]
['Hospital Severo Ochoa', 26, 12, 1, 1, 1]
['El Carrascal', 23, 12, 1, 1, 1]
['El Bercial', 22, 12, 1, 1, 1]
['Los Espartales', 21, 12, 1, 1, 1]
['El Casar', 20, 12, 1, 1, 1]
[' Juan de la Cierva', 19, 12, 1, 1, 1]
['Alonso de Mendoza', 17, 12, 1, 1, 1]
['Getafe Central', 18, 12, 1, 1, 1]
['Conservatorio', 16, 12, 1, 1, 1]
['Parque de los Estados', 14, 12, 1, 1, 1]
['Arroyo Culebro', 15, 12, 1, 1, 1]
['Fuenlabrada Central', 13, 12, 1, 1, 1]
['Parque Europa', 12, 12, 1, 1, 1]
['Hospital de Fuenlabrada', 11, 12, 1, 1, 1]
['Loranca', 10, 12, 1, 1, 1]
['Manuela Malasaña', 9, 12, 1, 1, 1]
['Hospital de Móstoles', 8, 12, 1, 1, 1]
['Pradillo', 7, 12, 1, 1, 1]
['Universidad Rey Juan Carlos', 5, 12, 1, 1, 1]
['Móstoles Central', 6, 12, 1, 1, 1]
['Parque Oeste', 4, 12, 1, 0, 1]
['Alcorcón Central', 3, 12, 1, 0, 1]
['Parque Lisboa', 2, 12, 1, 0, 1]
['Pitis', 30, 7, 0, 0, 1]
['Lacoma', 29, 7, 0, 0, 1]
['Puerta del Sur', 1, 12, 1, 1, 1]
['Avenida de la Ilustración', 28, 7, 0, 0, 1]
['Peñagrande', 27, 7, 1, 1, 1]
['Francos Rodríguez', 24, 7, 1, 1, 1]
['Valdezarza', 25, 7, 1, 1, 1]
['Islas Filipinas', 22, 7, 1, 1, 1]
['Antonio Machado', 26, 7, 1, 1, 1]
['Canal', 21, 7, 1, 1, 1]
['Alonso Cano', 20, 7, 1, 0, 1]
['Avenida de América', 18, 7, 0, 1, 0]
['Gregorio Marañón', 19, 7, 1, 0, 1]
['Parque de las Avenidas', 16, 7, 0, 1, 0]
['Barrio de la Concepción', 15, 7, 0, 1, 0]
['Cartagena', 17, 7, 0, 1, 0]
['Pueblo Nuevo', 14, 7, 1, 0, 1]
['San Blas', 10, 7, 0, 0, 0]
['Ascao', 13, 7, 0, 1, 0]
['García Noblejas', 12, 7, 0, 0, 0]
['Simancas', 11, 7, 0, 0, 0]
['Estadio Metropolitano', 8, 7, 1, 1, 1]
['Las Musas', 9, 7, 0, 0, 0]
['Barrio del Puerto', 7, 7, 1, 1, 1]
['Coslada Central', 6, 7, 0, 1, 0]
['La Rambla', 5, 7, 1, 1, 1]
['Jarama', 3, 7, 1, 1, 1]
['San Fernando', 4, 7, 1, 1, 1]
['Henares', 2, 7, 1, 1, 1]
['Hospital del Henares', 1, 7, 1, 1, 1]
